team,position,avg,league,year
Chelsea,1,56.49411497158414,EPL,2014
Manchester City,2,62.33751084911857,EPL,2014
Arsenal,3,55.59550162171189,EPL,2014
Leicester,1,54.25780558641793,EPL,2015
Arsenal,2,54.66496051390263,EPL,2015
Chelsea,1,58.83923450867268,EPL,2016
Tottenham,2,61.337554217492446,EPL,2016
Manchester City,3,62.36945141657852,EPL,2016
Liverpool,4,56.89848418452097,EPL,2016
Arsenal,5,55.601122659344284,EPL,2016
Manchester City,1,76.78050856407799,EPL,2017
Manchester City,1,73.77288612456528,EPL,2018
Liverpool,1,63.03737217795604,EPL,2019
Manchester City,2,79.83142128500259,EPL,2019
Chelsea,4,57.43942415188832,EPL,2019
Juventus,1,52.03010822511924,Serie_A,2014
Lazio,3,52.3764356861451,Serie_A,2014
Fiorentina,4,48.10001322028418,Serie_A,2014
Napoli,5,53.28404089258014,Serie_A,2014
Juventus,1,54.69681732567994,Serie_A,2015
Napoli,2,58.861011445312315,Serie_A,2015
Roma,3,58.18375467272331,Serie_A,2015
Juventus,1,57.741876561637824,Serie_A,2016
Roma,2,67.95067474086594,Serie_A,2016
Napoli,3,67.8055490399027,Serie_A,2016
Inter,7,55.455069323286025,Serie_A,2016
Juventus,1,58.222799680433546,Serie_A,2017
Napoli,2,58.471086482153396,Serie_A,2017
Roma,3,50.24235994211473,Serie_A,2017
Inter,4,50.776153960443956,Serie_A,2017
Lazio,5,62.22509735195774,Serie_A,2017
Atalanta,7,48.19775361721666,Serie_A,2017
Juventus,1,53.613498470854296,Serie_A,2018
Napoli,2,56.68185563547505,Serie_A,2018
Atalanta,3,59.70981553425926,Serie_A,2018
Inter,4,49.029244238278636,Serie_A,2018
Roma,6,54.32353739278888,Serie_A,2018
Juventus,1,59.10655937094554,Serie_A,2019
Inter,2,61.160492534249684,Serie_A,2019
Atalanta,4,72.02965976864161,Serie_A,2019
Roma,5,61.80392233540513,Serie_A,2019
Paris Saint Germain,1,63.097484759532534,Ligue_1,2014
Paris Saint Germain,1,73.27966363226648,Ligue_1,2015
Monaco,1,72.16475528392121,Ligue_1,2016
Paris Saint Germain,2,64.69643667067925,Ligue_1,2016
Paris Saint Germain,1,77.3678391813514,Ligue_1,2017
Paris Saint Germain,1,78.09581458027773,Ligue_1,2018
Paris Saint Germain,1,59.31568373679433,Ligue_1,2019
Barcelona,1,82.36670456881185,La_liga,2014
Barcelona,1,87.1542763582724,La_liga,2015
Real Madrid,1,77.29875711903725,La_liga,2016
Barcelona,2,81.46264903217826,La_liga,2016
Barcelona,1,74.2764700652798,La_liga,2017
Real Madrid,3,72.66913860858193,La_liga,2017
Barcelona,1,68.07709091636411,La_liga,2018
Real Madrid,1,56.22109911680313,La_liga,2019
