League,Offensive W_Average,Defensive W_Average,Country
Bundesliga,85.58800387405985,83.71157800713665,Germany
Bundesliga_topTeam,157.29234778014865,50.3048863198813,Germany
EPL,100.6749837427397,98.72920997965433,United Kingdom
EPL_topTeam,167.35079678181842,67.49872330352132,United Kingdom
La_liga,89.3792751470292,87.3324847339517,Spain
La_liga_topTeam,177.08701996120982,65.88529874387187,Spain
Ligue_1,74.66838470590415,72.96388308995792,France
Ligue_1_topTeam,147.07962639551107,53.57143167061618,France
Serie_A,93.96046676044277,91.96074649981043,Italy
Serie_A_topTeam,117.83616783240805,58.02792095973305,Italy
